@type	@id	name
relation	10372208	Claremont
relation	10372209	Brattleboro
relation	10372210	Greenfield
relation	10372211	Northampton
relation	10372212	Holyoke
relation	10372223	"Niagara Falls, New York"
relation	10372224	Whitehall
relation	10372832	Klamath Falls
relation	10563425	Amtrak Capitol Limited
relation	10571796	Amtrak Cascades: Portland => Vancouver
relation	10664665	New York State Fair
relation	10664666	Lexington
relation	10664667	North Carolina State Fair
relation	10664772	Bay Saint Louis
relation	10664773	Gulfport
relation	10664774	Biloxi
relation	10664775	Pascagoula
relation	10664776	Mobile
relation	10664777	Atmore
relation	10664778	Pensacola
relation	10664779	Crestview
relation	10664780	Chipley
relation	10664781	Tallahassee
relation	10664782	Madison
relation	10664783	Lake City
relation	10667645	Marceline
relation	10667647	Colonel Allensworth Park
relation	10868353	Winter Park Resort
relation	10945388	Amtrak Cascades: Portland => Eugene
relation	10945389	Amtrak Cascades: Portland => Seattle
relation	10945390	Amtrak Cascades: Seattle => Portland
relation	10945391	Amtrak Cascades: Vancouver => Seattle
relation	10945392	Amtrak Cascades: Seattle => Vancouver
relation	10945393	Amtrak Cascades: Eugene => Seattle
relation	10945394	Amtrak Cascades: Seattle => Eugene
relation	10946017	Amtrak Sunset Limited: Los Angeles => New Orleans
relation	10946018	Amtrak Lake Shore Limited: New York => Chicago
relation	10946019	Amtrak Lake Shore Limited: Boston => Chicago
relation	10946020	Amtrak Empire Builder: Portland => Chicago
relation	10946021	Amtrak Empire Builder: Seattle => Chicago
relation	11845488	Amtrak Cascades: Seattle => Portland
relation	11845489	Amtrak Cascades: Portland => Seattle
relation	11845490	Amtrak Cascades: Eugene => Seattle
relation	11851451	Amtrak Pere Marquette: Grand Rapids => Chicago
relation	11879712	Amtrak Wolverine: Pontiac => Chicago
relation	11879713	Amtrak Blue Water: Port Huron => Chicago
relation	11889368	Amtrak Downeaster: Brunswick => Boston (weekends)
relation	11889369	Amtrak Downeaster: Boston => Brunswick (weekends)
relation	11889370	Amtrak Downeaster: Brunswick => Boston (weekdays)
relation	11891956	Amtrak Carl Sandburg/Illinois Zephyr: Quincy => Chicago
relation	11893734	Amtrak Lincoln Service: Chicago => Saint Louis
relation	11896405	Amtrak Missouri River Runner: Kansas City => Saint Louis
relation	11897305	Amtrak Pacific Surfliner: San Diego => Los Angeles
relation	11897306	Amtrak Pacific Surfliner: Los Angeles => San Diego
relation	11897307	Amtrak Pacific Surfliner: Goleta => San Diego
relation	11897308	Amtrak Pacific Surfliner: San Diego => Goleta
relation	11897309	Amtrak Pacific Surfliner: Goleta => San Diego
relation	11897310	Amtrak Pacific Surfliner: San Diego => Goleta
relation	11897311	Amtrak Pacific Surfliner: San Luis Obispo => San Diego
relation	11904123	Amtrak Piedmont: Charlotte => Raleigh
relation	11913832	Amtrak Pennsylvanian: New York => Pittsburgh
relation	11914025	Amtrak Keystone Service: Philadelphia => Harrisburg
relation	11914026	Amtrak Keystone Service: Philadelphia => Harrisburg
relation	11914027	Amtrak Keystone Service: Philadelphia => Harrisburg
relation	11914028	Amtrak Keystone Service: Philadelphia => Harrisburg
relation	11914029	Amtrak Keystone Service: Harrisburg => Philadelphia
relation	11914031	Amtrak Keystone Service: Harrisburg => Philadelphia
relation	11914032	Amtrak Keystone Service: Harrisburg => Philadelphia
relation	11914033	Amtrak Keystone Service: Harrisburg => Philadelphia
relation	11914034	Amtrak Keystone Service: Harrisburg => Philadelphia
relation	11914036	Amtrak Keystone Service: Harrisburg => Philadelphia
relation	11914037	Amtrak Keystone Service: Harrisburg => New York
relation	11914038	Amtrak Keystone Service: Harrisburg => New York
relation	11914039	Amtrak Keystone Service: Harrisburg => New York
relation	11914040	Amtrak Keystone Service: New York => Harrisburg
relation	11914041	Amtrak Keystone Service: New York => Harrisburg
relation	11921087	Amtrak Vermonter: Saint Albans => Washington
relation	11921097	Amtrak Valley Flyer: Greenfield => New Haven
